Frame Seq, Obj_index, x, y, z, velocity, snr, noise
# Frame 316: DetectedObjs=4 : numTLVs=5
373,obj_3,-0.03408,1.09018,0.00000,0.00000,167,502
# Frame 374: DetectedObjs=4 : numTLVs=5
374,obj_0,0.00954,0.30525,0.00000,0.00000,243,892
374,obj_1,0.01772,0.56690,0.00000,0.00000,316,708
374,obj_2,0.00000,0.82895,0.00000,0.00000,290,574
374,obj_3,0.00000,1.09072,0.00000,0.00000,168,501
# Frame 375: DetectedObjs=4 : numTLVs=5
375,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
375,obj_1,0.01772,0.56690,0.00000,0.00000,313,711
375,obj_2,0.00000,0.82895,0.00000,0.00000,296,568
375,obj_3,0.00000,1.09072,0.00000,0.00000,163,505
# Frame 376: DetectedObjs=3 : numTLVs=5
376,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
376,obj_1,0.01772,0.56690,0.00000,0.00000,314,710
376,obj_2,0.00000,0.82895,0.00000,0.00000,290,573
# Frame 377: DetectedObjs=4 : numTLVs=5
377,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
377,obj_1,0.01772,0.56690,0.00000,0.00000,316,708
377,obj_2,0.00000,0.82895,0.00000,0.00000,285,579
377,obj_3,0.00000,1.09072,0.00000,0.00000,159,509
# Frame 378: DetectedObjs=4 : numTLVs=5
378,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
378,obj_1,0.01772,0.56690,0.00000,0.00000,318,706
378,obj_2,0.00000,0.82895,0.00000,0.00000,284,580
378,obj_3,0.00000,1.09072,0.00000,0.00000,152,511
# Frame 379: DetectedObjs=4 : numTLVs=5
379,obj_0,0.00954,0.30525,0.00000,0.00000,243,892
379,obj_1,0.01772,0.56690,0.00000,0.00000,314,710
379,obj_2,0.00000,0.82895,0.00000,0.00000,292,572
379,obj_3,-0.03408,1.09018,0.00000,0.00000,176,490
# Frame 380: DetectedObjs=4 : numTLVs=5
380,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
380,obj_1,0.01772,0.56690,0.00000,0.00000,318,706
380,obj_2,0.00000,0.82895,0.00000,0.00000,304,560
380,obj_3,-0.03408,1.09018,0.00000,0.00000,178,490
# Frame 381: DetectedObjs=4 : numTLVs=5
381,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
381,obj_1,0.01772,0.56690,0.00000,0.00000,312,712
381,obj_2,0.00000,0.82895,0.00000,0.00000,296,568
381,obj_3,-0.03408,1.09018,0.00000,0.00000,160,502
# Frame 382: DetectedObjs=4 : numTLVs=5
382,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
382,obj_1,0.01772,0.56690,0.00000,0.00000,316,708
382,obj_2,0.00000,0.82895,0.00000,0.00000,287,578
382,obj_3,-0.03408,1.09018,0.00000,0.00000,163,506
# Frame 383: DetectedObjs=4 : numTLVs=5
383,obj_0,0.00954,0.30525,0.00000,0.00000,243,892
383,obj_1,0.01772,0.56690,0.00000,0.00000,318,707
383,obj_2,0.00000,0.82895,0.00000,0.00000,298,566
383,obj_3,-0.03408,1.09018,0.00000,0.00000,160,503
# Frame 384: DetectedObjs=4 : numTLVs=5
384,obj_0,0.00954,0.30525,0.00000,0.00000,243,892
384,obj_1,0.01772,0.56690,0.00000,0.00000,312,712
384,obj_2,0.00000,0.82895,0.00000,0.00000,281,583
384,obj_3,0.00000,1.09072,0.00000,0.00000,158,506
# Frame 385: DetectedObjs=3 : numTLVs=5
385,obj_0,0.00954,0.30525,0.00000,0.00000,243,892
385,obj_1,0.01772,0.56690,0.00000,0.00000,319,705
385,obj_2,0.00000,0.82895,0.00000,0.00000,285,579
# Frame 386: DetectedObjs=4 : numTLVs=5
386,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
386,obj_1,0.01772,0.56690,0.00000,0.00000,314,710
386,obj_2,0.00000,0.82895,0.00000,0.00000,287,577
386,obj_3,0.00000,1.09072,0.00000,0.00000,156,504
# Frame 387: DetectedObjs=4 : numTLVs=5
387,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
387,obj_1,0.01772,0.56690,0.00000,0.00000,310,714
387,obj_2,0.00000,0.82895,0.00000,0.00000,302,562
387,obj_3,-0.03408,1.09018,0.00000,0.00000,165,506
# Frame 388: DetectedObjs=4 : numTLVs=5
388,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
388,obj_1,0.01772,0.56690,0.00000,0.00000,313,711
388,obj_2,0.00000,0.82895,0.00000,0.00000,281,582
388,obj_3,0.00000,1.09072,0.00000,0.00000,183,494
# Frame 389: DetectedObjs=4 : numTLVs=5
389,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
389,obj_1,0.01772,0.56690,0.00000,0.00000,312,713
389,obj_2,0.00000,0.82895,0.00000,0.00000,288,576
389,obj_3,-0.03408,1.09018,0.00000,0.00000,152,515
